"Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene"
"ILMN_1661178",464.022782770268,-2.06567426550044,0.293582159623208,-7.03610283455776,1.97691060703972e-12,1.50416538387629e-08,"NR4A1"
"ILMN_1672295",1456.44285574059,-2.02845204462338,0.425603552361779,-4.76605994796567,1.87863384865175e-06,0.000465673454666707,"ZC3H12A"
"ILMN_1680618",2919.90918592639,-2.54208799050644,0.444943788282512,-5.71327897467437,1.1081978158095e-08,8.25845488903338e-06,"MYC"
"ILMN_1694472",4282.31069099472,3.29568503762613,0.66671678953235,4.9431559087297,7.68679618584003e-07,0.000237106499645925,"GCK"
"ILMN_1717639",2299.08211751992,-2.05824740711972,0.515212442376901,-3.99494895275456,6.47081935474493e-05,0.00597354365332429,"SIK1"
"ILMN_1723522",1640.21749357706,-2.37231132931293,0.419371290893536,-5.65682816355489,1.54196003314792e-08,1.00562227761813e-05,"APOLD1"
"ILMN_1728677",2029.06621630548,-2.02247113460065,0.387203279893176,-5.22327996590997,1.75781311660815e-07,7.03927056135048e-05,"CREB5"
"ILMN_1751607",4195.91831768796,-3.56024243797622,0.562773400822627,-6.32624504422576,2.51198799181568e-10,5.09413581196952e-07,"FOSB"
"ILMN_1768469",1245.87901778547,-3.53379324744797,0.722623174877361,-4.89022961109392,1.00718422268352e-06,0.000294743423935564,"TCN1"
"ILMN_1781001",2261.66996980191,-2.18580913649453,0.518240769724245,-4.21774832122451,2.46754012070715e-05,0.00290330261831245,"SOCS3"
"ILMN_1785732",987.679071923312,-2.12694773128212,0.441926816116903,-4.8128958318734,1.48758838014708e-06,0.00039483363215392,"TNFAIP6"
"ILMN_1807034",948.389373594275,-2.47193919523242,0.430472491194434,-5.74238597308162,9.33517392034483e-09,7.61016713949254e-06,"CALCA"
"ILMN_2086077",2884.59653090142,-2.03767064142375,0.44758824746376,-4.55255617851927,5.29980022741033e-06,0.00093056338454514,"JUNB"
"ILMN_2110908",4988.57492604969,-2.30258823680957,0.240906904586247,-9.55800017755498,1.20054023122074e-21,2.74035313178445e-17,"MYC"
"ILMN_2184373",3757.99361421793,-2.48145472967439,0.643750113948926,-3.85468627640704,0.000115878126720145,0.00884626796158542,"CXCL8"
"ILMN_2196479",1449.38920256703,-4.06529041355313,0.931587186100871,-4.36383247237253,1.27803463648106e-05,0.00178971893327097,"XRN2"
"ILMN_2230178",1186.71488480149,-2.05100943029407,0.491920992207016,-4.16938789518244,3.0541879861572e-05,0.00330402345838978,"DAND5"
"ILMN_2232463",1362.04910883929,-2.98392257816583,0.445752251025382,-6.6941278957129,2.1696160549948e-11,9.33030963968932e-08,"ARL14"
"ILMN_2339955",1022.04971577068,-2.32547051099036,0.337048595838764,-6.89951104885424,5.21818301849382e-12,2.9777561395035e-08,"NR4A2"
"ILMN_2373670",3462.95446734936,3.64899672112496,0.835100560967761,4.36952972094319,1.24514393462646e-05,0.00177635346573647,"UGT2B17"
"ILMN_2410145",1742.49632666525,-2.42064883936406,0.411436212916944,-5.88341221158554,4.01893308595305e-09,3.98852898347671e-06,"NR4A1"
