"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific","15/110","468/18369",1.26816006696836e-07,1.92501872056293e-05,1.65384735280562e-05,"NR4A1/FOS/MAFF/MYC/NKX2-2/FOXC1/CTCFL/FOSB/FOSL1/SOX11/NR4A3/NR4A2/JUNB/KLF4/TFAP2A",15
"GO:0001216","DNA-binding transcription activator activity","15/110","472/18369",1.41545494159039e-07,1.92501872056293e-05,1.65384735280562e-05,"NR4A1/FOS/MAFF/MYC/NKX2-2/FOXC1/CTCFL/FOSB/FOSL1/SOX11/NR4A3/NR4A2/JUNB/KLF4/TFAP2A",15
"GO:0035259","nuclear glucocorticoid receptor binding","3/110","13/18369",5.72040505499085e-05,0.0051865005831917,0.00445589446388761,"NR4A1/NR4A3/NR4A2",3
"GO:0016701","oxidoreductase activity, acting on single donors with incorporation of molecular oxygen","3/110","25/18369",0.000436572317641546,0.0296869175996251,0.0255050143464272,"MIOX/ALOX12B/PTGS2",3
"GO:0005216","monoatomic ion channel activity","9/110","432/18369",0.00115771469293162,0.0596178189937219,0.0512196432531202,"FXYD3/SCNN1B/BEST2/P2RX1/ABCC8/CACNG2/KCNQ4/CACNG6/CNGB1",9
"GO:0016247","channel regulator activity","5/110","152/18369",0.00221409042258418,0.0596178189937219,0.0512196432531202,"FXYD3/DPP6/ABCC8/CACNG2/CACNG6",5
"GO:0035497","cAMP response element binding","2/110","12/18369",0.00225523815927372,0.0596178189937219,0.0512196432531202,"CREB5/NR4A3",2
"GO:0015267","channel activity","9/110","478/18369",0.00231230236885378,0.0596178189937219,0.0512196432531202,"FXYD3/SCNN1B/BEST2/P2RX1/ABCC8/CACNG2/KCNQ4/CACNG6/CNGB1",9
"GO:0140297","DNA-binding transcription factor binding","9/110","478/18369",0.00231230236885378,0.0596178189937219,0.0512196432531202,"NR4A1/FOS/MYC/SIK1/FOXC1/NR4A3/NR4A2/KLF4/NKX2-1",9
"GO:0022803","passive transmembrane transporter activity","9/110","479/18369",0.00234498801499628,0.0596178189937219,0.0512196432531202,"FXYD3/SCNN1B/BEST2/P2RX1/ABCC8/CACNG2/KCNQ4/CACNG6/CNGB1",9
"GO:0004879","nuclear receptor activity","3/110","46/18369",0.00263019789678185,0.0596178189937219,0.0512196432531202,"NR4A1/NR4A3/NR4A2",3
"GO:0098531","ligand-activated transcription factor activity","3/110","46/18369",0.00263019789678185,0.0596178189937219,0.0512196432531202,"NR4A1/NR4A3/NR4A2",3
